Away Team,Away Pitcher,Home Team,Home Pitcher
Phillies,Cristopher Sánchez,Blue Jays,Bowden Francis
White Sox,Jonathan Cannon,Orioles,Albert Suárez
Nationals,MacKenzie Gore,Marlins,Valente Bellozo
Astros,Spencer Arrighetti,Reds,Nick Martinez
Twins,Ronny Henriquez,Rays,Cole Sulser
Red Sox,Tanner Houck,Mets,Tylor Megill
Rockies,Bradley Blalock,Braves,Charlie Morton
Cardinals,Sonny Gray,Brewers,Colin Rea
Guardians,Ben Lively,Royals,Seth Lugo
Pirates,Domingo Germán,Cubs,Shota Imanaga
Yankees,Marcus Stroman,Rangers,Nathan Eovaldi
Dodgers,Bobby Miller,Angels,Griffin Canning
Tigers,Keider Montero,Padres,Yu Darvish
Mariners,George Kirby,Athletics,JP Sears
Diamondbacks,Zac Gallen,Giants,Hayden Birdsong
