Away Team,Away Pitcher,Away (1),Away (2),Away (3),Away (4),Away (5),Away (6),Away (7),Away (8),Away (9),Home Team,Home Pitcher,Home (1),Home (2),Home (3),Home (4),Home (5),Home (6),Home (7),Home (8),Home (9)
Phillies,Cristopher Sanchez,Kyle Schwarber,Trea Turner,Bryce Harper,Nick Castellanos,Bryson Stott,J.T. Realmuto,Brandon Marsh,Austin Hays,Edmundo Sosa,Blue Jays,Bowden Francis,George Springer,Daulton Varsho,Vladimir Guerrero Jr,Alejandro Kirk,Ernie Clement,Leo Jimenez,Davis Schneider,Luis De Los Santos,Brian Serven
White Sox,Jonathan Cannon,Nicky Lopez,Luis Robert Jr,Andrew Benintendi,Andrew Vaughn,Gavin Sheets,Korey Lee,Dominic Fletcher,Lenyn Sosa,Jacob Amaya,Orioles,Albert Suarez,Gunnar Henderson,Adley Rutschman,Ryan O'Hearn,Anthony Santander,Colton Cowser,Eloy Jimenez,Cedric Mullins,Jackson Holliday,Emmanuel Rivera
Astros,Spencer Arrighetti,Jose Altuve,Yordan Alvarez,Alex Bregman,Yainer Diaz,Jonathan Singleton,Jeremy Pena,Ben Gamel,Mauricio Dubon,Jason Heyward,Reds,Nick Martinez,Jonathan India,Elly De La Cruz,Tyler Stephenson,TJ Friedl,Spencer Steer,Ty France,Jake Fraley,Santiago Espinal,Amed Rosario
Nationals,MacKenzie Gore,Dylan Crews,Jose Tena,Andres Chaparro,James Wood,Luis Garcia Jr,Joey Gallo,C.J. Abrams,Keibert Ruiz,Jacob Young,Marlins,Valente Bellozo,Xavier Edwards,Connor Norby,Jake Burger,Jonah Bride,Otto Lopez,Cristian Pache,David Hensley,Kyle Stowers,Nick Fortes
Red Sox,Tanner Houck,Jarren Duran,Wilyer Abreu,Tyler O'Neill,Rafael Devers,Triston Casas,Masataka Yoshida,Connor Wong,Enmanuel Valdez,Ceddanne Rafaela,Mets,Tylor Megill,Francisco Lindor,Brandon Nimmo,Mark Vientos,Pete Alonso,Jesse Winker,Starling Marte,Jose Iglesias,Jeff McNeil,Francisco Alvarez
Rockies,Bradley Blalock,Charlie Blackmon,Ezequiel Tovar,Ryan McMahon,Brenton Doyle,Brendan Rodgers,Michael Toglia,Nolan Jones,Jordan Beck,Drew Romo,Braves,Charlie Morton,Michael Harris II,Jorge Soler,Marcell Ozuna,Matt Olson,Travis d'Arnaud,Whit Merrifield,Jarred Kelenic,Orlando Arcia,Gio Urshela
Cardinals,Sonny Gray,Masyn Winn,Alec Burleson,Nolan Arenado,Brendan Donovan,Paul Goldschmidt,Lars Nootbaar,Jordan Walker,Ivan Herrera,Mike Siani,Brewers,Colin Rea,Brice Turang,Jackson Chourio,William Contreras,Jakob Bauers,Willy Adames,Garrett Mitchell,Rhys Hoskins,Sal Frelick,Joey Ortiz
Guardians,Ben Lively,Steven Kwan,Andres Gimenez,Jose Ramirez,Josh Naylor,Jhonkensy Noel,Kyle Manzardo,Lane Thomas,Bo Naylor,Brayan Rocchio,Royals,Seth Lugo,Tommy Pham,Bobby Witt Jr,Michael Massey,Salvador Perez,Paul DeJong,MJ Melendez,Freddy Fermin,Maikel Garcia,Kyle Isbel
Pirates,Domingo German,Isiah Kiner-Falefa,Bryan Reynolds,Nick Gonzales,Andrew McCutchen,Oneil Cruz,Connor Joe,Bryan De La Cruz,Jared Triolo,Henry Davis,Cubs,Shota Imanaga,Ian Happ,Michael Busch,Seiya Suzuki,Cody Bellinger,Isaac Paredes,Nico Hoerner,Dansby Swanson,Pete Crow-Armstrong,Miguel Amaya
Yankees,Marcus Stroman,Gleyber Torres,Juan Soto,Aaron Judge,Austin Wells,Giancarlo Stanton,Jazz Chisholm Jr,Anthony Rizzo,Anthony Volpe,Alex Verdugo,Rangers,Nathan Eovaldi,Marcus Semien,Corey Seager,Josh Smith,Adolis Garcia,Nathaniel Lowe,Josh Jung,Wyatt Langford,Jonah Heim,Leody Taveras
Dodgers,Bobby Miller,Shohei Ohtani,Mookie Betts,Freddie Freeman,Teoscar Hernandez,Gavin Lux,Will Smith,Max Muncy,Tommy Edman,Miguel Rojas,Angels,Griffin Canning,Taylor Ward,Zach Neto,Nolan Schanuel,Anthony Rendon,Mickey Moniak,Logan O'Hoppe,Brandon Drury,Jo Adell,Niko Kavadas
Tigers,Keider Montero,Parker Meadows,Riley Greene,Matt Vierling,Kerry Carpenter,Colt Keith,Spencer Torkelson,Jace Jung,Trey Sweeney,Dillon Dingler,Padres,Yu Darvish,Fernando Tatis Jr,Luis Arraez,Jurickson Profar,Manny Machado,Jake Cronenworth,Xander Bogaerts,Jackson Merrill,Kyle Higashioka,Mason McCoy
Mariners,George Kirby,J.P. Crawford,Julio Rodriguez,Cal Raleigh,Randy Arozarena,Jorge Polanco,Justin Turner,Luis Urias,Mitch Garver,Victor Robles,Athletics,JP Sears,Lawrence Butler,Brent Rooker,JJ Bleday,Shea Langeliers,Seth Brown,Zack Gelof,Tristan Gray,Max Schuemann,Jacob Wilson
Diamondbacks,Zac Gallen,Corbin Carroll,Jake McCarthy,Joc Pederson,Christian Walker,Pavin Smith,Adrian Del Castillo,Eugenio Suarez,Luis Guillorme,Geraldo Perdomo,Giants,Hayden Birdsong,Mike Yastrzemski,Tyler Fitzgerald,Heliot Ramos,Michael Conforto,Matt Chapman,LaMonte Wade Jr,Patrick Bailey,Marco Luciano,Grant McCray
