Team,Roster Link
Chicago White Sox,/mlb/team/roster/_/name/chw/chicago-white-sox
Cleveland Guardians,/mlb/team/roster/_/name/cle/cleveland-guardians
Detroit Tigers,/mlb/team/roster/_/name/det/detroit-tigers
Kansas City Royals,/mlb/team/roster/_/name/kc/kansas-city-royals
Minnesota Twins,/mlb/team/roster/_/name/min/minnesota-twins
Baltimore Orioles,/mlb/team/roster/_/name/bal/baltimore-orioles
Boston Red Sox,/mlb/team/roster/_/name/bos/boston-red-sox
New York Yankees,/mlb/team/roster/_/name/nyy/new-york-yankees
Tampa Bay Rays,/mlb/team/roster/_/name/tb/tampa-bay-rays
Toronto Blue Jays,/mlb/team/roster/_/name/tor/toronto-blue-jays
Houston Astros,/mlb/team/roster/_/name/hou/houston-astros
Los Angeles Angels,/mlb/team/roster/_/name/laa/los-angeles-angels
Oakland Athletics,/mlb/team/roster/_/name/oak/oakland-athletics
Seattle Mariners,/mlb/team/roster/_/name/sea/seattle-mariners
Texas Rangers,/mlb/team/roster/_/name/tex/texas-rangers
Chicago Cubs,/mlb/team/roster/_/name/chc/chicago-cubs
Cincinnati Reds,/mlb/team/roster/_/name/cin/cincinnati-reds
Milwaukee Brewers,/mlb/team/roster/_/name/mil/milwaukee-brewers
Pittsburgh Pirates,/mlb/team/roster/_/name/pit/pittsburgh-pirates
St. Louis Cardinals,/mlb/team/roster/_/name/stl/st-louis-cardinals
Atlanta Braves,/mlb/team/roster/_/name/atl/atlanta-braves
Miami Marlins,/mlb/team/roster/_/name/mia/miami-marlins
New York Mets,/mlb/team/roster/_/name/nym/new-york-mets
Philadelphia Phillies,/mlb/team/roster/_/name/phi/philadelphia-phillies
Washington Nationals,/mlb/team/roster/_/name/wsh/washington-nationals
Arizona Diamondbacks,/mlb/team/roster/_/name/ari/arizona-diamondbacks
Colorado Rockies,/mlb/team/roster/_/name/col/colorado-rockies
Los Angeles Dodgers,/mlb/team/roster/_/name/lad/los-angeles-dodgers
San Diego Padres,/mlb/team/roster/_/name/sd/san-diego-padres
San Francisco Giants,/mlb/team/roster/_/name/sf/san-francisco-giants
